covariate,domain,tier,recommended_grain,primary_source,expected_accessibility,current_schema_status,provenance_fields,notes
taxon_raw,taxonomy,1,observation_or_treatment,paper,high,present_as_species,"taxon_raw_text; source_id; evidence_quote; confidence","Keep verbatim taxon string before canonicalization."
taxon_canonical,taxonomy,1,observation_or_treatment,paper_plus_taxon_lookup,high,absent,"taxon_raw_text; taxonomic_authority; taxon_match_status; confidence","Needed as the join key for taxon traits."
initial_wound_area_mm2,wound_geometry,1,treatment_or_observation,paper,high,present_as_area_mm2_source_level,"raw_value; raw_units; conversion_formula; evidence_quote; page_or_section","Move from source-level multi-value text to treatment/observation rows."
injury_mechanism_standard,wound_design,1,treatment,paper,high,present_as_lesion_method_source_level,"injury_type_raw; tool_raw; standard_code; evidence_quote","Standardize Dremel/chisel/pliers/Waterpik/bone-cutter/natural scar."
tissue_skeleton_involvement,wound_design,1,treatment,paper,high,present_as_lesion_type_source_level,"lesion_type_raw; standard_code; evidence_quote; confidence","Distinguish tissue-only, tissue+skeleton, fragmentation, partial mortality."
temperature_c,environment,1,treatment_or_source,paper,high,present_source_level,"temperature_raw; value_c; min_c; max_c; regime_type; evidence_quote","Separate static lab treatments from field temperatures and seasonal ranges."
temperature_regime,environment,1,treatment_or_source,paper,high,partial_in_temp_manip,"ambient_or_manipulated; static_or_fluctuating; duration_days; evidence_quote","Needed for warming/bleaching studies."
colony_size_value,intrinsic_state,1,observation_or_treatment,paper,high,present_as_colony_size_cm_source_level,"metric; raw_value; units; standardized_value; evidence_quote","Do not force all metrics into cm without preserving metric type."
colony_size_metric,intrinsic_state,1,observation_or_treatment,paper,high,absent,"metric; measurement_method; evidence_quote","Diameter, area, volume, buoyant mass, fragment length, nubbin height."
monitoring_duration_days,study_design,1,source_or_treatment,paper,high,absent,"start_day; end_day; duration_days; evidence_quote","Required for initial/final and rate conversions."
timepoint_days,response_timing,1,observation,paper_or_digitized_data,high,absent,"timepoint_raw; day_value; source_table_or_figure; evidence_quote","Required for time-series extraction."
time_interval_days,response_timing,1,observation,paper_or_digitized_data,high,absent,"interval_start_day; interval_end_day; duration_days; evidence_quote","Use when rate is interval-specific."
sample_size,study_design,1,observation_or_treatment,paper,high,present_source_level,"n_initial; n_analyzed; n_unit; sample_size_source; evidence_quote","Keep initial and analyzed n separate."
variance_type,response_value,1,observation,paper_or_digitized_data,medium_high,partial_in_rate_layer,"variance_type; variance_value; errorbar_definition; evidence_quote","Do not assume SE versus SD from figure bars."
variance_value,response_value,1,observation,paper_or_digitized_data,medium_high,partial_in_rate_layer,"variance_type; variance_value; units; source_table_or_figure","Digitization often needed."
endpoint_definition,response_timing,1,source_or_treatment,paper,high,absent,"endpoint_raw; endpoint_standard; evidence_quote; confidence","Tissue cover, no visible skeleton, full polyp, pigmentation, feeding-capable polyp."
field_lab_mesocosm,study_design,1,source,paper,high,present_as_study_type,"study_type_raw; standard_code; evidence_quote","Current study_type should be standardized into field/lab/mesocosm categories."
final_wound_area_mm2,wound_geometry,2,observation,paper_or_digitized_data,medium_low,absent,"raw_value; units; derivation; source_table_or_figure; evidence_quote","Often derived from percent healed or digitized figures."
wound_shape_standard,wound_geometry,2,treatment,paper,high,absent,"shape_raw; shape_standard; evidence_quote","Circular, rectangular, square, irregular, wedge, branch-tip."
